previous_crop,temperature,humidity,moisture,soil_type,soil_ph,rainfall,recommended_crop,
Maize,26,52,38,Sandy,6.4,926,Pulses,
Sugarcane,29,52,45,Loamy,5.9,2266,Wheat,
Cotton,34,65,62,Black,7.2,2240,Ground Nuts,
Tobacco,32,62,34,Red,6.6,2037,Maize,
Soybeans,28,54,46,Clay,4.8,231,Cotton,
Barley,26,52,35,Sandy,8,2845,Sugarcane,
Cotton,25,50,64,Red,2.3,2773,Ground Nuts,
Wheat,33,64,50,Loamy,0.3,699,Soybeans,
Millet,30,60,42,Sandy,10.8,404,Tobacco,
Pulses,27,54,28,Clay,3.1,1082,Barley,
Maize,31,62,48,Sandy,0.6,1900,Pulses,
Cotton,25,50,65,Loamy,3.5,2457,Ground Nuts,
Soybeans,32,62,41,Clay,2.4,761,Cotton,
Ground Nuts,26,52,31,Red,13.7,712,Oilseeds,
Sugarcane,31,62,49,Black,3.9,863,Wheat,
Pulses,33,64,34,Clay,0.6,2432,Barley,
Barley,25,50,39,Sandy,9.4,2954,Sugarcane,
Cotton,28,54,65,Black,3.7,2206,Ground Nuts,
Wheat,29,58,52,Loamy,8.7,1416,Soybeans,
Millet,30,60,44,Sandy,10.8,2194,Tobacco,
Sugarcane,34,65,53,Loamy,5.2,991,Wheat,
Tobacco,35,68,33,Red,10.8,2222,Maize,
Millet,28,54,37,Black,1.2,399,Tobacco,
Soybeans,33,64,39,Clay,11.4,1024,Cotton,
Maize,26,52,44,Sandy,2.6,789,Pulses,
Cotton,30,60,63,Red,9.2,1225,Ground Nuts,
Sugarcane,32,62,30,Loamy,12.3,1634,Wheat,
Pulses,26,52,36,Clay,7.3,480,Barley,
Ground Nuts,29,58,40,Red,2,2108,Oilseeds,
Sugarcane,30,60,27,Loamy,8.5,972,Wheat,
Soybeans,34,65,38,Clay,10.1,1385,Cotton,
Barley,36,68,38,Sandy,0.9,1244,Sugarcane,
Wheat,26,52,48,Loamy,6.2,551,Soybeans,
Millet,28,54,35,Black,9.3,1719,Tobacco,
Cotton,30,60,61,Loamy,5,1161,Ground Nuts,
Soybeans,37,70,37,Clay,7.6,2954,Cotton,
Ground Nuts,25,50,26,Red,1.5,1428,Oilseeds,
Millet,29,58,34,Sandy,8.7,1448,Tobacco,
Pulses,27,54,30,Clay,1.1,1374,Barley,
Sugarcane,30,60,58,Loamy,9,1706,Wheat,
Tobacco,32,62,34,Red,13.5,1581,Maize,
Sugarcane,34,65,60,Black,7,1953,Wheat,
Barley,35,67,42,Sandy,4.8,375,Sugarcane,
Wheat,38,70,48,Loamy,1.7,1512,Soybeans,
Soybeans,29,58,43,Clay,12,2368,Cotton,
Ground Nuts,30,60,29,Red,6.9,1563,Oilseeds,
Maize,33,64,51,Sandy,3.7,2182,Pulses,
Tobacco,34,65,31,Red,1,2016,Maize,
Pulses,28,54,38,Clay,12.6,1393,Barley,
Barley,30,60,47,Sandy,11.7,1755,Sugarcane,
Cotton,31,62,63,Red,7.6,2117,Ground Nuts,
Millet,27,53,43,Black,1.8,859,Tobacco,
Wheat,34,65,54,Loamy,12.1,1327,Soybeans,
Millet,29,58,37,Sandy,5.4,1982,Tobacco,
Sugarcane,25,50,56,Loamy,13.4,1603,Wheat,
Ground Nuts,32,62,34,Red,5.9,1289,Oilseeds,
Soybeans,28,54,41,Clay,11.1,2109,Cotton,
Wheat,30,60,49,Loamy,0.8,2915,Soybeans,
Cotton,34,65,64,Black,8.6,894,Ground Nuts,
Barley,28,54,47,Sandy,5.1,1196,Sugarcane,
Cotton,36,68,62,Red,7.4,1169,Ground Nuts,
Sugarcane,34,65,57,Black,1.5,1861,Wheat,
Sugarcane,29,58,55,Loamy,9.2,2425,Wheat,
Pulses,25,50,40,Clay,11.6,2225,Barley,
Millet,30,60,38,Sandy,4.4,1945,Tobacco,
Pulses,26,52,39,Clay,6.1,605,Barley,
Tobacco,31,62,32,Red,10.5,1648,Maize,
Wheat,34,65,48,Loamy,4.9,399,Soybeans,
Ground Nuts,33,64,31,Red,7.8,1464,Oilseeds,
Soybeans,29,58,42,Clay,12.5,1220,Cotton,
Maize,30,60,47,Sandy,3.2,1418,Pulses,
Sugarcane,27,53,59,Loamy,5.5,784,Wheat,
Pulses,26,52,36,Clay,12.4,2204,Barley,
Cotton,34,65,63,Red,9.2,630,Ground Nuts,
Soybeans,28,54,43,Clay,1.4,1704,Cotton,
Millet,30,60,40,Sandy,12.7,2924,Tobacco,
Cotton,29,58,65,Black,7.7,1605,Ground Nuts,
Sugarcane,26,52,59,Loamy,2.3,993,Wheat,
Barley,31,62,44,Sandy,10.1,268,Sugarcane,
Pulses,35,67,28,Clay,5.8,2480,Barley,
Tobacco,29,58,30,Red,9.5,1610,Maize,
Millet,27,53,30,Black,11.4,1131,Tobacco,
Wheat,36,68,50,Loamy,9.3,458,Soybeans,
Cotton,29,58,61,Loamy,12.7,2764,Ground Nuts,
Soybeans,34,65,45,Clay,5.8,2117,Cotton,
Ground Nuts,36,68,41,Red,5.6,2695,Oilseeds,
Maize,28,54,25,Sandy,12.7,921,Pulses,
Pulses,25,50,32,Clay,11.6,2943,Barley,
Tobacco,30,60,27,Red,11.9,1156,Maize,
Wheat,38,72,51,Loamy,13.9,1948,Soybeans,
Millet,36,60,43,Sandy,2.8,999,Tobacco,
Sugarcane,29,58,57,Black,1.7,563,Wheat,
Cotton,27.58,59.21,31.27,Loamy,7.5,2716,Ground Nuts,
Millet,27.45,66.38,50.14,Black,11.2,1311,Tobacco,
Wheat,27.25,63.62,40.35,Black,0.9,1618,Soybeans,
Millet,28.84,58.91,33.06,Clay,0.9,1064,Tobacco,
Ground Nuts,25.86,48.46,46.25,Red,12.6,1101,Oilseeds,
Cotton,25.59,63.6,46.33,Clay,4.8,1994,Ground Nuts,
Millet,36.05,73.59,58.17,Red,10.7,2136,Tobacco,
Ground Nuts,26.76,64.22,53.63,Sandy,2.9,235,Oilseeds,
Cotton,27.66,53.58,40.96,Red,12,1907,Ground Nuts,
Wheat,28.27,52.88,43.3,Black,0.9,2399,Soybeans,
Cotton,28.74,56.8,54.07,Loamy,11.8,2010,Ground Nuts,
Soybeans,30.63,63.88,38.71,Loamy,1.1,2233,Cotton,
Barley,26.02,52.46,31.12,Loamy,7.1,486,Sugarcane,
Maize,30.63,61.45,23.18,Black,3.3,1247,Pulses,
Sugarcane,23.63,52.62,31.03,Clay,3.4,2956,Wheat,
Soybeans,31.19,60.94,30.51,Black,6.2,2425,Cotton,
Tobacco,37.12,72.87,47.06,Sandy,13.9,2018,Maize,
